职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Python（爬虫）,南京易联阳光信息技术股份有限公司,南京-秦淮区,2年经验,五险一金 专业培训 年终奖金 周末双休 带薪年假 生日卡,08-19,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137842828.html
Senior Python Engineer（remote）,普华永道信息技术（上海）有限公司,上海-浦东新区,3-4年经验,,08-19,500-1000人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/136152325.html
Python开发工程师,上海南天电脑系统有限公司,合肥-包河区,2年经验,五险一金 定期体检 周末双休 带薪年假 节日福利 高温补贴 年度旅游,08-19,500-1000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/136245466.html
Python开发工程师,博士眼镜连锁股份有限公司,深圳-罗湖区,5-7年经验,五险一金 员工旅游 绩效奖金 定期体检 专业培训 上市公司 管理规范,08-19,1000-5000人,批发/零售,上市公司,https://jobs.51job.com/chengdu-jnq/138432345.html
软件工程师（Python方向）,遨博（江苏）机器人有限公司,北京-海淀区,2年经验,五险一金 餐饮补贴 通讯补贴 定期体检 年终奖金 交通补贴 周末双休,08-19,150-500人,仪器仪表/工业自动化,合资,https://jobs.51job.com/chengdu-jnq/138834165.html
软件工程师 (Python),深圳快造科技有限公司,深圳-南山区,2年经验,包午餐 周末双休 弹性工作 带薪年假 五险一金 定期体检 年终奖金 餐饮补贴,08-19,150-500人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/131418538.html
Python开发工程师,庆虹电子（苏州）有限公司,昆山,2年经验,五险一金 定期体检 年终奖金 绩效奖金 员工旅游 弹性工作,08-19,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/127570422.html
python后台开发,浙江兰树化妆品有限公司杭州分公司,杭州,3-4年经验,,08-19,150-500人,快速消费品(食品、饮料、化妆品),民营公司,https://jobs.51job.com/chengdu-jnq/129507164.html
Python高级开发工程师,武汉全品教育科技有限公司,武汉-洪山区,2年经验,,08-19,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/131273623.html
Python （树莓派 ）软件开发工程师,东莞市拓能电子科技有限公司,东莞,1年经验,五险一金 年终奖金 周末双休 加班补贴 定期体检,08-19,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/137870799.html
python开发工程师 （机器视觉）(J10321),南京奥拓电子科技有限公司,南京,2年经验,五险一金 员工旅游 节日福利 年终奖金 绩效奖金 股票期权,08-19,500-1000人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/137861057.html
Python开发工程师,汉堂软件工程（上海）有限公司,广州,1年经验,五险一金 周末双休 弹性工作 免费班车 年终奖金 绩效奖金,08-19,500-1000人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/140388782.html
算法工程师/Python,江西数安数字技术有限公司,赣州-章贡区,3-4年经验,五险 餐饮补贴 交通补贴 绩效奖金 员工旅游 通讯补贴 专业培训 年终奖金,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139891229.html
游戏开发工程师-python/c++,深圳市德科信息技术有限公司,广州-天河区,1年经验,年终奖金 节日福利 绩效奖金 餐饮补贴 六险一金 补充医疗保险,08-19,1000-5000人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/138865467.html
Python爬虫工程师,多优美康（北京）国际贸易有限责任公司,郑州-经开区,3-4年经验,周末双休 绩效奖金 节日福利 五险一金 出差补贴,08-19,50-150人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/141722217.html
Python开发工程师（上海）,上海清鹤科技股份有限公司,上海-浦东新区,1年经验,五险一金 弹性工作 绩效奖金 年终奖金 股票期权 交通补贴 餐饮补贴,08-19,150-500人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/101319267.html
python开发工程师,浙江精通自动控制技术有限公司,温州,1年经验,绩效奖金 专业培训 员工旅游 五险 餐饮补贴,08-19,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/123948684.html
Python开发工程师,浙江巨能环境工程有限公司,嘉兴,2年经验,五险一金 专业培训 年终奖金 定期体检 餐饮补贴 周末双休 带薪年假 节日福利 绩效奖金,08-19,50-150人,环保,民营公司,https://jobs.51job.com/chengdu-jnq/139910930.html
Python开发工程师,广东中思拓大数据研究院有限公司,广州-天河区,1年经验,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,08-19,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137735415.html
Python/Django Web开发工程师,上海禾楷电气科技有限公司,上海-浦东新区,3-4年经验,五险一金 定期体检 员工旅游 交通补贴 专业培训 股票期权,08-19,少于50人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/137679624.html
Python开发工程师,青岛腾创信息技术有限公司,青岛,无需经验,,08-19,,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/140016019.html
Python开发工程师,山东国茂医药有限公司,青岛-市北区,2年经验,五险一金 定期体检 每年调薪 绩效奖金 年终奖金 健身锻炼 周末双休 年底双薪 带薪年假 节日福利,08-19,50-150人,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/136048258.html
Python后端开发工程师,宁波思凯莱数码科技有限公司,宁波-江北区,2年经验,五险一金 交通补贴 通讯补贴 年终奖金,08-19,50-150人,计算机硬件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/132954461.html
python开发（厦门）,杭州盈丰软件股份有限公司,厦门-思明区,1年经验,五险一金 补充公积金 员工旅游 交通补贴 年终奖金 通讯补贴 定期体检,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/129220715.html
python开发（双休+大平台+稳定）,上海华腾软件系统有限公司,深圳-福田区,3-4年经验,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训 加班费 部门团建,08-19,500-1000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/140456357.html
Python开发工程师,武汉吉嘉时空信息技术有限公司,武汉-东湖新技术产业开发区,1年经验,五险一金 员工旅游 专业培训 餐饮补贴 绩效奖金 年终奖金 股票期权,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139467561.html
Python开发工程师,上海埃帕信息科技有限公司,上海-浦东新区,2年经验,带薪年假 五险一金 年终奖金 免费班车 定期体检,08-19,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141682617.html
python后端开发工程师,广州昂特机械设备有限公司,广州-黄埔区,2年经验,,08-19,50-150人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/137520523.html
Python经理,苏州储慧信息科技有限公司,苏州-工业园区,5-7年经验,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141459869.html
python开发工程师（安全）,完美世界（北京）总部/完美时空,北京,5-7年经验,,08-19,,影视/媒体/艺术/文化传播,外资（欧美）,https://jobs.51job.com/chengdu-jnq/138003039.html
Python开发工程师（初/中/高级）,深圳市科力锐科技有限公司,重庆-渝中区,3-4年经验,绩效奖金 专业培训 蓝海事业 共创共享 快速成长,08-19,150-500人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/141821065.html
高级Python工程师,符代企业管理咨询（上海）有限公司,武汉-洪山区,3-4年经验,五险一金 通讯补贴 年终奖金 弹性工作 定期体检 节日礼物 带薪年假 技能培训 休闲餐点 团队聚餐,08-19,1000-5000人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141811513.html
Python研发工程师(J10725),广州嘉为科技有限公司,广州-天河区,2年经验,,08-19,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141805868.html
Python开发工程师,上海帼联信息技术有限公司,上海-静安区,3-4年经验,,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141799784.html
Python后端工程师（出差）,广州幻博智能科技有限公司,广州-荔湾区,1年经验,通讯补贴 交通补贴 双休 补充医疗保险 社保 弹性工作 出差补贴 定期体检,08-19,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/141788045.html
高级软件工程师（Python）,傲讯全通科技（深圳）有限公司,深圳,5-7年经验,五险一金 绩效奖金 员工旅游,08-19,50-150人,计算机软件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141770405.html
Python开发工程师,广州汇睿网络科技有限公司,广州-黄埔区,2年经验,员工旅游 年终奖金 购买社保 餐饮补贴 季度奖金 每年2次调薪 专业培训 交通补贴,08-19,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/141701975.html
Python开发工程师,标克贸易（深圳）有限公司,深圳-福田区,1年经验,带薪年假 五险一金 绩效奖金 周末双休 包住宿,08-19,50-150人,贸易/进出口,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141283872.html
Python开发工程师,上海海宇信息技术有限公司,上海-徐汇区,1年经验,五险一金 定期体检 绩效奖金 年终奖金,08-19,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140717235.html
Python架构师,西安翌昱皓莱数据科技有限公司,西安-新城区,1年经验,五险一金 餐饮补贴 绩效奖金 生日蛋糕 员工拓展 每月聚餐,08-19,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/140448722.html
Python 开发工程师,广州市西美信息科技有限公司,广州,2年经验,五险一金 绩效奖金 专业培训 弹性工作 员工旅游 周末双休 餐饮补贴,08-19,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/138746847.html
Python高级开发工程师,江苏洛尧智慧通信科技有限公司,南京-秦淮区,3-4年经验,五险一金 餐饮补贴 专业培训 年终奖金 定期体检 弹性工作 绩效奖金,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136976650.html
python工程师,上海伍贤信息技术股份有限公司,上海-浦东新区,2年经验,五险一金 员工旅游 年终奖金 定期体检 做五休二 带薪年假,08-19,50-150人,计算机服务(系统、数据服务、维修),上市公司,https://jobs.51job.com/chengdu-jnq/133943087.html
Python开发工程师,东莞市晨特电子技术服务有限公司,东莞-长安镇,1年经验,周末双休 带薪年假 五险一金 绩效奖金 包住宿 包三餐,08-19,少于50人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/133659140.html
python开发工程师,一令通（上海）科技有限公司,上海-闵行区,2年经验,带薪年假 五险一金 交通补贴 餐饮补贴 通讯补贴 员工旅游 定期体检 年终奖金,08-19,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/130712331.html
