职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Python开发工程师,广州市派客朴食信息科技有限责任公司,广州-海珠区,1年经验,五险一金 年终奖金 绩效奖金,08-15,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/138146912.html
Python开发工程师,北京科电航宇空间技术有限公司,成都-青羊区,3-4年经验,五险一金 餐饮补贴 通讯补贴 交通补贴 定期体检 员工旅游 绩效奖金,08-15,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/119388413.html
软件开发工程师（Python/Qt）,湖北九同方微电子有限公司,深圳-福田区,2年经验,五险一金 交通补贴 餐饮补贴 出国机会 专业培训 年终奖金 股票期权 弹性工作 通讯补贴 绩效奖金,08-15,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139591058.html
Python开发工程师,江苏天诺基业生态科技有限公司,无锡-无锡新区,2年经验,,08-15,50-150人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/136986923.html
Python开发工程师,广州海拓信息科技有限公司,广州-海珠区,3-4年经验,五险一金 交通补贴 年终奖金 员工旅游 弹性工作 绩效奖金,08-15,50-150人,金融/投资/证券,民营公司,https://jobs.51job.com/chengdu-jnq/136857928.html
Python开发工程师,武汉中纪生物科技有限公司,武汉-东湖新技术产业开发区,3-4年经验,员工旅游 专业培训 出国机会 绩效奖金 年终奖金 周末双休,08-15,50-150人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/104265802.html
Python高级开发工程师,武汉星合创产业园有限公司,武汉,3-4年经验,五险一金 交通补贴 通讯补贴 年终奖金 绩效奖金 专业培训 带薪年假 节日福利,08-15,50-150人,专业服务(咨询、人力资源、财会),合资,https://jobs.51job.com/chengdu-jnq/138387937.html
Python工程师（网络）,上海云卯信息科技有限公司,上海-浦东新区,5-7年经验,五险一金 年终奖金 绩效奖金,08-15,150-500人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/141721569.html
Python开发工程师,深圳市血之缘医疗科技有限公司,深圳-宝安区,5-7年经验,全勤奖 带薪年假 专业培训 年终奖金 地铁沿线 节日福利 工作晚餐,08-15,150-500人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/125389811.html
Python开发工程师,武汉储慧信息科技有限公司,武汉-洪山区,5-7年经验,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,08-15,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141450131.html
Python全栈开发工程师,四川友信立智能科技有限公司,成都-锦江区,3-4年经验,交通补贴 通讯补贴 社保 股票期权 绩效奖金 专业培训 餐饮补贴 年终奖金,08-15,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/122378081.html
Python后端开发工程师,上海存融工业装备技术有限公司,上海-松江区,1年经验,五险一金 年终奖金 员工旅游 绩效奖金 定期体检 领导好 扁平管理 专业培训,08-15,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/140994795.html
Python开发工程师,广州英赛特软件有限公司,广州-黄埔区,1年经验,五险一金 专业培训 定期体检 高温假 弹性工作 丰富文化生活,08-15,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138414144.html
Python开发工程师,大连智云科技有限公司,大连-甘井子区,2年经验,五险一金 周末双休 餐饮补贴 节日福利 团建活动,08-15,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138561000.html
Python开发工程师,南京小网科技有限责任公司,南京-建邺区,1年经验,五险一金 员工旅游 专业培训 年终奖金 股票期权 弹性工作 定期体检,08-15,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137912529.html
Python开发工程师,用友网络科技股份有限公司无锡分公司,无锡-梁溪区,2年经验,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 定期体检,08-15,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140852235.html
Python开发工程师,国瑞怡康医学检验所（上海）有限公司,上海-青浦区,1年经验,五险一金 补充医疗保险 员工旅游 餐饮补贴 专业培训 年终奖金 绩效奖金 弹性工作 定期体检,08-15,150-500人,制药/生物工程,合资,https://jobs.51job.com/chengdu-jnq/133869368.html
Python开发工程师,BME柏美迪康,上海,3-4年经验,五险一金 员工旅游 餐饮补贴 年终奖金 股票期权 定期体检 绩效奖金 专业培训,08-15,150-500人,环保,上市公司,https://jobs.51job.com/chengdu-jnq/137958156.html
Python开发工程师,上海欧普泰科技创业股份有限公司,上海-普陀区,1年经验,周末双休 带薪年假 五险一金 节日福利 绩效奖金 工作茶点 休闲健身,08-15,150-500人,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/133585895.html
Python开发工程师5-8K+双休+住宿,青岛资博互动信息技术有限公司,青岛-市北区,无需经验,五险一金 周末双休 早九晚六 年终奖金 绩效奖金 弹性工作 补充公积金 员工公寓 员工旅游 专业培训,08-15,,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/139456020.html
Python开发工程师,上海新诤信知识产权服务股份有限公司,广州-南沙区,1年经验,五险一金 年终奖金 补充医疗保险 通讯补贴,08-15,150-500人,专业服务(咨询、人力资源、财会),民营公司,https://jobs.51job.com/chengdu-jnq/135932355.html
Python,大展信息科技（深圳）有限公司,深圳-福田区,3-4年经验,五险一金 定期体检 员工旅游 双休稳定,08-15,500-1000人,计算机软件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141392688.html
Python开发工程师,爱才集团有限公司,杭州-余杭区,1年经验,,08-15,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139566584.html
Python开发工程师,合肥本源量子计算科技有限责任公司,合肥-高新区,3-4年经验,五险一金 员工旅游 交通补贴 补充医疗保险 股票期权 定期体检 年终奖金 专业培训,08-15,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141651920.html
Python开发工程师（会日语优先）,无锡斑目信息技术有限公司,无锡-无锡新区,3-4年经验,五险一金 员工旅游 年终奖金 定期体检 绩效奖金,08-15,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141014686.html
Python开发工程师（武汉）,浙江和达科技股份有限公司,武汉,2年经验,员工旅游 年终奖金 绩效奖金 股票期权 五险一金 专业培训 定期体检,08-15,500-1000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/134553849.html
Python开发工程师,宝禾江川实业（深圳）有限公司,东莞-塘厦镇,5-7年经验,五险一金 带薪年假 做五休二 每年涨薪 定期体检 年底奖金 通讯补贴 高温补贴 节日福利 补充医疗保险,08-15,50-150人,电子技术/半导体/集成电路,合资,https://jobs.51job.com/chengdu-jnq/140895894.html
Python开发工程师,武汉华富远科技有限公司,东莞-塘厦镇,2年经验,周末双休 三餐免费 提供宿舍 社保,08-15,,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/140853566.html
Python开发工程师,深圳市博悦科创科技有限公司,深圳-福田区,1年经验,五险一金 补充医疗保险 补充公积金 员工旅游 年终奖金 定期体检,08-15,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136748752.html
高级Python开发工程师,清谱科技（苏州）有限公司,苏州-工业园区,3-4年经验,五险一金 弹性工作 年终奖金 股票期权,08-15,少于50人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/140910284.html
Python开发工程师（双休，可接受民本）,深圳艾融科技有限公司,深圳-福田区,2年经验,五险一金 员工旅游 餐饮补贴 弹性工作 定期体检,08-15,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140458616.html
Python后端开发工程师,江苏莘纳吉物流科技有限公司,南京-鼓楼区,1年经验,周末双休 带薪年假 五险一金 全勤奖 节日福利 高温补贴 员工旅游 定期体检,08-15,150-500人,交通/运输/物流,民营公司,https://jobs.51job.com/chengdu-jnq/136648787.html
Python开发（高薪双休福利好）,江苏润和软件股份有限公司,杭州-滨江区,2年经验,五险一金 年终奖金 绩效奖金 餐饮补贴 法定节假日 周末双休 定期体检 节假日福利,08-15,10000人以上,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/139060748.html
软件开发工程师（SW）(Python)(J10728),江苏创源电子有限公司,苏州-吴江区,2年经验,五险一金 包吃 包住宿 绩效奖金 节日福利 员工旅游 年终奖金,08-15,1000-5000人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/133400572.html
Java/Python软件工程师,南京拾柴信息科技有限公司,南京-浦口区,2年经验,五险一金 年终奖金 周末双休,08-15,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/139579614.html
python量化开发工程师,仁中（上海）股权投资基金管理有限公司,上海-浦东新区,5-7年经验,绩效奖金 年终奖金 弹性工作 专业培训 五险一金 出国机会 股票期权,08-15,少于50人,金融/投资/证券,民营公司,https://jobs.51job.com/chengdu-jnq/136369159.html
Python开发工程师,珠高电气检测有限公司,深圳-南山区,1年经验,五险一金 定期体检 年终奖金 绩效奖金 交通补贴 专业培训 通讯补贴 周末双休 餐饮补贴 包吃,08-15,50-150人,检测，认证,民营公司,https://jobs.51job.com/chengdu-jnq/140770675.html
Python高级开发工程师,纯米科技（上海）股份有限公司,上海-浦东新区,5-7年经验,五险一金 餐饮补贴 年终奖金 弹性工作 定期体检 员工旅游 节日福利 岗位晋升 高温补贴,08-15,150-500人,互联网/电子商务,合资,https://jobs.51job.com/chengdu-jnq/137265862.html
（证券项目）Python开发工程师,加绩（上海）科技服务有限公司,上海-黄浦区,2年经验,五险一金 补充医疗保险 餐补,08-15,150-500人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/138124056.html
监控研发工程师（C++/Python方向）,中电普瑞电力工程有限公司,北京-昌平区,1年经验,周末双休 带薪年假 五险一金 免费班车 专业培训 节日福利 餐饮补贴 补充医疗保险 年终奖金 年度体检,08-15,500-1000人,电气/电力/水利,国企,https://jobs.51job.com/chengdu-jnq/140277394.html
Python工程师（江苏国钥云）,江苏康缘集团有限责任公司,南京-建邺区,2年经验,五险一金 绩效奖金 定期体检 餐饮补贴 节日福利,08-15,5000-10000人,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/140473386.html
Python开发工程师,成都育碧电脑软件有限公司,成都,3-4年经验,五险一金 绩效奖金 专业培训 补充医疗保险 定期体检,08-15,150-500人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/138051429.html
Python爬虫工程师,消费者报道杂志社有限公司,广州-天河区,3-4年经验,五险一金 定期体检 加班调休 双休,08-15,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140472660.html
Python开发工工程师,北京神州商通网络科技有限公司三门峡分公司,三门峡,1年经验,五险 周末双休 节假日休 绩效奖金 定期体检,08-15,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/123888011.html
Python开发工程师,深圳睿瀚医疗科技有限公司,深圳-坪山区,2年经验,五险一金 员工旅游 绩效奖金 年终奖金 定期体检,08-15,50-150人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/141559279.html
2023实习生-软件开发工程师(python),浙江国自机器人技术股份有限公司,杭州-富阳区,无需经验,地铁周边 周末双休 员工食堂,08-15,500-1000人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/140006864.html
python研发工程师,上海速擎软件有限公司,北京-朝阳区,3-4年经验,五险一金 绩效奖金 专业培训 节日福利 晋升空间 弹性工作 员工旅游,08-15,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138466524.html
Python开发工程师,苏州智泰腾迪信息科技有限公司,苏州-工业园区,3-4年经验,五险一金 餐饮补贴 绩效奖金 年终奖金 节日礼品 交通补贴 工作日餐补 岗位晋升,08-15,50-150人,计算机软件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/135481899.html
Python工程师,广州市埃特斯通讯设备有限公司,广州-黄埔区,1年经验,五险一金 员工旅游 年终奖金 免费食宿 绩效奖金 弹性工作 专业培训,08-15,150-500人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/140599747.html
Python开发工程师,广州市正成信息科技有限公司,广州-天河区,1年经验,五险一金 补充医疗保险 员工旅游 专业培训 绩效奖金 弹性工作,08-15,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/138744394.html
Python开发工程师,深圳市韵达速递有限公司,深圳-宝安区,3-4年经验,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 员工旅游 住房补贴 包吃住,08-15,1000-5000人,交通/运输/物流,民营公司,https://jobs.51job.com/chengdu-jnq/135921497.html
Python开发工程师,四川弘和集团,成都-武侯区,5-7年经验,周末双休 带薪年假 五险一金,08-15,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136232610.html
Python开发工程师,纳峰真空镀膜（上海）有限公司,上海-青浦区,2年经验,五险一金 包住宿 节日福利 免费工作餐 住房补贴 每年固定调薪 工龄工资,08-15,1000-5000人,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/137496609.html
Python开发工程师,深圳市同和信息技术有限公司,深圳-罗湖区,3-4年经验,五险一金 免费班车 弹性工作,08-15,1000-5000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141720059.html
Python开发工程师,深圳华云信息系统有限公司,深圳-福田区,3-4年经验,五险一金,08-15,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141001516.html
Python开发工程师,立铠精密科技（盐城）有限公司,盐城,2年经验,,08-15,10000人以上,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/139960643.html
Python开发工程师（行情）,上海财联社金融科技有限公司,上海,5-7年经验,做五休二 周末双休 五险一金 餐饮补贴 年终奖金,08-15,150-500人,影视/媒体/艺术/文化传播,国企,https://jobs.51job.com/chengdu-jnq/137621830.html
Python开发工程师,上海至盛信息技术股份有限公司,上海-松江区,2年经验,五险一金 年终奖金 交通补贴 餐饮补贴 通讯补贴,08-15,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/128471252.html
Python开发工程师,上海强辰信息技术有限公司,上海-长宁区,1年经验,补充医疗保险 员工旅游 年终奖金 定期体检 五险一金 周末双休,08-15,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/133197585.html
Python爬虫工程师,深圳市省油灯网络科技有限公司,深圳-龙岗区,1年经验,五险一金 补充医疗保险 弹性工作 年终奖金 绩效奖金 周末双休 股票期权 员工旅游,08-15,150-500人,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/141486383.html
Python开发工程师,上海浩也光电科技有限公司,上海-松江区,3-4年经验,五险一金 年终奖金 全勤奖 绩效奖金 节日福利 高温补贴 餐饮补贴 专业培训 弹性工作,08-15,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/134042118.html
Python开发工程师,上铁互联信息技术江苏有限公司,上海-静安区,1年经验,五险一金 补充医疗保险 补充公积金 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,08-15,150-500人,互联网/电子商务,国企,https://jobs.51job.com/chengdu-jnq/139504581.html
Python工程师,深圳市唛壳科技有限公司,深圳-龙华区,2年经验,,08-15,50-150人,贸易/进出口,民营公司,https://jobs.51job.com/chengdu-jnq/131246736.html
Python开发工程师,广州市联柔机械设备有限公司,广州-黄埔区,5-7年经验,五险一金 员工旅游 绩效奖金 年终奖金 加班补贴 高温补贴 带薪年假 节日福利 包吃 住房补贴,08-15,150-500人,机械/设备/重工,民营公司,https://jobs.51job.com/chengdu-jnq/140130054.html
Python开发工程师,上海优宁维生物科技股份有限公司,上海-浦东新区,2年经验,周末双休 带薪年假 五险一金 节日福利 交通补贴 餐饮补贴 通讯补贴,08-14,500-1000人,制药/生物工程,上市公司,https://jobs.51job.com/chengdu-jnq/137596482.html
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Python开发工程师,上海优宁维生物科技股份有限公司,上海-浦东新区,2年经验,周末双休 带薪年假 五险一金 节日福利 交通补贴 餐饮补贴 通讯补贴,08-14,500-1000人,制药/生物工程,上市公司,https://jobs.51job.com/chengdu-jnq/137596482.html
资深Python后端开发工程师,浙江省邮电工程建设有限公司,杭州-上城区,3-4年经验,餐饮补贴 绩效奖金 五险一金 弹性工作,08-14,5000-10000人,通信/电信/网络设备,国企,https://jobs.51job.com/chengdu-jnq/139168495.html
Python开发工程师,南京五采智电电力科技有限公司,南京-江宁区,3-4年经验,五险一金 员工旅游 专业培训 通讯补贴 交通补贴 定期体检 绩效奖金,08-14,50-150人,电气/电力/水利,民营公司,https://jobs.51job.com/chengdu-jnq/141684978.html
Python开发工程师,广州市弘安警用设备科技有限公司,广州-天河区,3-4年经验,社保 交通补贴 餐饮补贴 绩效奖金,08-14,少于50人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/141701931.html
Python开发工程师,壹沓科技（上海）有限公司,上海,3-4年经验,,08-14,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138997432.html
Python开发工程师,北京天创征腾信息科技有限公司,北京-海淀区,2年经验,五险一金 绩效奖金 通讯补贴 餐饮补贴 交通补贴 年终奖金 补充医疗保险 专业培训,08-14,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/126156648.html
Python开发工程师,业成光电（深圳）有限公司,深圳,1年经验,带薪年假 五险一金 免费班车 绩效奖金 节日福利 加班补贴 定期体检 员工旅游 专业培训,08-13,10000人以上,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/128920507.html
Python开发工程师,东揽（南京）智能科技有限公司,南京-江宁区,1年经验,五险一金 员工旅游 绩效奖金 定期体检 周末双休,08-13,少于50人,交通/运输/物流,民营公司,https://jobs.51job.com/chengdu-jnq/135308250.html
Python开发工程师,福建博通软件有限公司,福州,1年经验,五险一金 绩效奖金 年终奖金 员工旅游 周末双休 过节费 节假日福利 生日福利,08-13,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138428228.html
Python开发工程师,上海晶铸生物科技有限公司,嘉兴-嘉善县,2年经验,年终奖金 五险一金 员工旅游 出国机会 定期体检 弹性工作 绩效奖金,08-13,50-150人,制药/生物工程,合资,https://jobs.51job.com/chengdu-jnq/124574144.html
Python研发工程师,深圳市蚁丰科技有限公司,深圳-龙华区,3-4年经验,五险一金 工作氛围轻松 周末双休 弹性工作,08-13,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140985464.html
Python后端工程师,武汉中科曙光坤程科技发展有限公司,武汉-汉阳区,3-4年经验,,08-13,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/140841550.html
Python开发工程师,软极网络技术（北京）有限公司,北京-朝阳区,2年经验,五险一金 弹性工作 定期体检,08-13,50-150人,计算机软件,创业公司,https://jobs.51job.com/chengdu-jnq/140229954.html
Python开发工程师,成都雨云科技有限公司,成都-金牛区,3-4年经验,五险一金 餐饮补贴 午餐福利 绩效奖金 年终奖金,08-13,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/134436253.html
Python开发工程师,擎盾数据,南京-雨花台区,2年经验,五险一金 定期体检 弹性工作 年终奖金 绩效奖金,08-13,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/87774190.html
Python开发（RPA方向/双休/五险一金）,河南八六三软件股份有限公司,郑州-中原区,1年经验,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 定期体检 健身俱乐部 节日福利,08-12,500-1000人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/134705671.html
Python,南京天启云信息科技有限公司,南京-雨花台区,2年经验,五险一金 餐饮补贴 年终奖金 定期体检 加班补贴 出差补贴 生日福利 节假日福利,08-12,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140664276.html
C# Python 开发工程师,上海纳恩汽车技术股份有限公司,上海-松江区,2年经验,五险一金 免费班车 员工旅游 交通补贴 餐饮补贴 年终奖金 股票期权 定期体检,08-12,150-500人,汽车,民营公司,https://jobs.51job.com/chengdu-jnq/139463757.html
python后端开发工程师,江苏君立华域安全测评有限公司,南京-江宁区,1年经验,五险一金 交通补贴 通讯补贴 年终奖金 定期体检 周末双休 年休假,08-12,50-150人,计算机服务(系统、数据服务、维修),上市公司,https://jobs.51job.com/chengdu-jnq/139786946.html
Python开发工程师,浩云科技股份有限公司,广州-番禺区,3-4年经验,周末双休 带薪年假 五险一金 包住宿 免费班车 绩效奖金 节日福利 餐饮补贴 加班补贴 高温补贴,08-12,1000-5000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/140225497.html
Python开发工程师,京北方信息技术股份有限公司珠海分公司,上海,3-4年经验,五险一金 交通补贴 餐饮补贴 绩效奖金 员工旅游,08-12,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141444621.html
软件开发工程师-python,华为技术有限公司,西安-雁塔区,3-4年经验,五险一金 年终奖金 绩效奖金 弹性工作 定期体检 专业培训 员工旅游,08-12,10000人以上,通信/电信运营、增值服务,民营公司,https://jobs.51job.com/chengdu-jnq/141643397.html
Python开发工程师,苏州易来科得科技有限公司,苏州-相城区,3-4年经验,五险一金 员工旅游 年终奖金 定期体检 股票期权,08-12,少于50人,学术/科研,民营公司,https://jobs.51job.com/chengdu-jnq/137000279.html
Python开发工程师,康码（上海）生物科技有限公司,上海-浦东新区,2年经验,五险一金 弹性工作 年终奖金 绩效奖金 专业培训 出国机会,08-12,150-500人,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/140852114.html
Python开发工程师,南京今创信息技术有限公司,南京-鼓楼区,1年经验,五险一金 员工旅游 交通补贴 餐饮补贴 专业培训 定期体检,08-12,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140711861.html
Python后端开发工程师,上海宜氪数据科技有限公司,上海-浦东新区,3-4年经验,五险一金 定期体检 专业培训 员工旅游 弹性工作,08-12,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136524178.html
Python开发工程师,上海敏拾智能科技有限公司,上海-闵行区,3-4年经验,五险一金 员工旅游 定期体检 专业培训 股票期权 年终奖金 绩效奖金,08-12,50-150人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/139057475.html
Python软件工程师（OpenStack）,上海川源信息科技有限公司,上海-浦东新区,5-7年经验,五险一金 年终奖金 弹性工作,08-12,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136067032.html
Python开发工程师,武汉数字化设计与制造创新中心有限公司,武汉-东湖新技术产业开发区,1年经验,定期体检 餐饮补贴 交通补贴 周末双休 带薪年假 通讯补贴,08-12,150-500人,学术/科研,国企,https://jobs.51job.com/chengdu-jnq/136333285.html
Python开发工程师,上海昊沧系统控制技术有限责任公司,武汉-洪山区,2年经验,做五休二 周末双休 带薪年假 五险一金 节日福利 餐饮补贴,08-12,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/134363469.html
Python开发工程师(J10219),上海柏楚电子科技股份有限公司,上海-闵行区,3-4年经验,五险一金 补充公积金 年终奖金 提供三餐 定期体检 节日福利 团建及旅游 超长春节假期,08-12,150-500人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/137238294.html
Python开发工程师,北京创腾科技有限公司,苏州-工业园区,3-4年经验,五险一金 补充医疗保险 补充公积金 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检 弹性工作,08-12,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/134337528.html
python开发工程师,上海并擎软件科技有限公司,上海-徐汇区,2年经验,五险一金 绩效奖金 专业培训 年终奖金 定期体检 做五休二 周末双休 带薪年假,08-12,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136534710.html
Python爬虫软件工程师,深圳市乐思软件技术有限公司,深圳-南山区,1年经验,周末双休 五险一金 绩效奖金 节日福利 专业培训 高温补贴 出国机会 员工旅游 补充医疗保险 年终奖金,08-12,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/132559485.html
Python后端开发工程师,有米科技股份有限公司,广州-番禺区,2年经验,餐饮补贴 定期体检 周末双休 带薪年假 节日福利 专业培训 五险一金 绩效奖金 弹性工作,08-12,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/141106914.html
Python算法平台开发工程师(R8583),上海近观科技有限责任公司,上海-宝山区,8-9年经验,五险一金 补充公积金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 绩效奖金 弹性工作 定期体检 股票期权,08-12,50-150人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/141579163.html
Python开发工程师,上海恒联网络有限公司,上海-浦东新区,3-4年经验,五险一金 节假日慰问 带薪休假 交通补贴,08-12,50-150人,通信/电信/网络设备,国企,https://jobs.51job.com/chengdu-jnq/140974307.html
Python开发工程师,上海悦米信息技术有限公司,上海,3-4年经验,弹性工作 年底13薪+ 扁平化管理 五险一金 餐饮补贴 绩效奖金 年终奖金 免费零食饮料 周末双休,08-12,50-150人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/133717764.html
Web后端python高级开发工程师,上海曼光信息科技有限公司,上海-浦东新区,3-4年经验,五险一金 绩效奖金 员工旅游 通讯补贴 弹性工作 股票期权 年终奖金 专业培训,08-12,少于50人,计算机软件,创业公司,https://jobs.51job.com/chengdu-jnq/131565848.html
Python开发工程师,海南钦诚软件技术有限公司,深圳-福田区,3-4年经验,年终奖金 弹性工作 六险一金 双休,08-12,,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141375421.html
初级Python开发(J11248),广东林氏家居股份有限公司,佛山-南海区,1年经验,五险一金 绩效奖金 员工旅游 餐饮补贴,08-12,1000-5000人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/140088046.html
Python开发工程师,福睿医疗科技（东莞）有限公司,东莞-松山湖区,3-4年经验,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 定期体检 年终奖金 弹性工作 周末双休 提供宿舍,08-12,少于50人,贸易/进出口,民营公司,https://jobs.51job.com/chengdu-jnq/130625984.html
Python高级开发工程师,南京时珍教育科技有限公司,南京-鼓楼区,3-4年经验,五险一金 专业培训 弹性工作 绩效奖金 年终奖金 股票期权,08-12,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/134572594.html
Python开发工程师,西安敦讯信息技术有限公司,西安-雁塔区,2年经验,五险一金 补充公积金 员工旅游 年终奖金 项目奖金 生日福利,08-12,50-150人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/139272097.html
Python开发工程师,上海英内物联网科技股份有限公司,上海,3-4年经验,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 周末双休 高温补贴,08-12,500-1000人,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/138730460.html
Python开发工程师,美心食品（广州）有限公司,广州-越秀区,1年经验,节日福利 五险一金,08-11,10000人以上,餐饮业,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141028764.html
